#TYPE;Selected.System.Management.ManagementObject;;
date;user;productname;
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3092601)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2808679)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro rozhran? Microsoft .NET Framework 3.5.1 v syst?mu Windows 7 SP1 (KB3122648)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2564958)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro rozhran? Microsoft .NET Framework 3.5.1 v syst?mu Windows 7 SP1 x86 (KB2972100)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2977292)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2761217)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? pro rozhran? Microsoft .NET Framework 3.5.1 v syst?mu Windows 7 SP1 x86 (KB2972211)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3101722)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2918077)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3093513)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3108371)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB3054476)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3045685)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB3150220)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace syst?mu Windows 7 (KB2852386)
18.9.2017;10:45:56;NT AUTHORITY\SYSTEM;Aktualizace zabezpe?en? syst?mu Windows 7 (KB2813430)
